Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
5,201704070,boxscore,ARI,CLE,W,7,3,,4-1,1, Tied,Miller,Tomlin,,3:19,N,"22,443",+++,True,58,2017
3,201704070,boxscore,DET,BOS,W,6,5,,2-1,3, 1.5,Rodriguez,Hembree,,3:35,D,"45,013",+,True,59,2017
5,201704070,boxscore,COL,LAD,W,2,1,,4-1,1, Tied,Freeland,Ryu,McGee,3:00,D,"49,169",++,True,60,2017
5,201704070,boxscore,MIL,CHC,W-wo,2,1,11,2-3,3, 1.5,Hughes,Montgomery,,3:58,N,"28,728",+,True,61,2017
3,201704070,boxscore,BAL,NYY,W,6,5,,3-0,1,up 1.0,Hart,Clippard,Britton,3:20,N,"25,248",+++,True,62,2017
6,201704080,boxscore,TBR,TOR,W-wo,3,2,11,4-2,2, 1.0,Ramirez,Lawrence,,3:55,N,"21,838",++,True,63,2017
6,201704080,boxscore,HOU,KCR,L,3,7,,3-3,2, 1.0,Duffy,Gregerson,,2:42,N,"35,373",---,True,64,2017
6,201704080,boxscore,MIL,CHC,L,6,11,,2-4,5, 1.5,Hendricks,Marinez,,3:28,N,"43,080",-,True,65,2017
6,201704080,boxscore,LAA,SEA,W,5,4,,4-2,1,up 1.0,Ramirez,Scribner,Bedrosian,3:05,N,"42,668",++,True,66,2017
5,201704080,boxscore,PHI,WSN,W,17,3,,2-3,3, 1.0,Nola,Guthrie,,3:15,N,"37,241",+,True,67,2017
4,201704080,boxscore,CHW,MIN,W,6,2,,2-2,4, 1.5,Gonzalez,Mejia,,2:56,D,"23,024",+,True,68,2017
5,201704080,boxscore,STL,CIN,W,10,4,,2-3,4, 1.0,Wacha,Arroyo,,2:47,D,"46,558",+,True,69,2017
5,201704080,boxscore,NYM,MIA,L,1,8,,2-3,3, 1.0,Conley,Gsellman,,3:25,N,"33,936",--,True,70,2017
4,201704080,boxscore,BAL,NYY,W,5,4,,4-0,1,up 1.0,Givens,Betances,Britton,3:35,D,"38,916",++++,True,71,2017
5,201704080,boxscore,TEX,OAK,L,1,6,,1-4,4, 2.5,Graveman,Darvish,,2:59,N,"44,410",-,True,72,2017
6,201704080,boxscore,ARI,CLE,W,11,2,,5-1,1, Tied,Greinke,Bauer,,3:15,N,"28,437",++++,True,73,2017
6,201704080,boxscore,SDP,SFG,W,2,1,,3-3,3, 2.0,Chacin,Bumgarner,Buchter,2:24,N,"42,397",++,True,74,2017
4,201704080,boxscore,DET,BOS,W,4,1,,3-1,2, 0.5,Zimmermann,Rodriguez,Wilson,3:05,D,"32,622",++,True,75,2017
4,201704080,boxscore,PIT,ATL,W,6,4,,2-2,3, 0.5,Kuhl,Dickey,Watson,3:00,N,"31,756",++,True,76,2017
6,201704080,boxscore,COL,LAD,W,4,2,,5-1,1, Tied,Dunn,Kershaw,Holland,2:59,N,"48,012",+++,True,77,2017
6,201704090,boxscore,NYM,MIA,W,5,2,,3-3,1, Tied,Syndergaard,Volquez,Reed,2:44,N,"27,420",+,True,78,2017
6,201704090,boxscore,TEX,OAK,W,8,1,,2-4,4, 2.5,Perez,Manaea,,3:16,D,"36,905",+,True,79,2017
7,201704090,boxscore,COL,LAD,L,6,10,,5-2,2, 1.0,Maeda,Anderson,,3:49,D,"33,529",-,True,80,2017
7,201704090,boxscore,MIL,CHC,L,4,7,,2-5,5, 2.5,Arrieta,Davies,,3:00,D,"38,483",--,True,81,2017
7,201704090,boxscore,TBR,TOR,W,7,2,,5-2,1, Tied,Odorizzi,Estrada,,2:57,D,"15,341",+++,True,82,2017
5,201704090,boxscore,DET,BOS,L,5,7,,3-2,2, 1.5,Barnes,Rondon,Kimbrel,3:27,D,"33,662",-,True,83,2017
7,201704090,boxscore,HOU,KCR,W-wo,5,4,12,4-3,2, 1.0,Devenski,Strahm,,3:49,D,"32,411",+,True,84,2017
7,201704090,boxscore,ARI,CLE,W,3,2,,6-1,1,up 1.0,Corbin,Kluber,Rodney,3:02,D,"30,191",+++++,True,85,2017
7,201704090,boxscore,LAA,SEA,W-wo,10,9,,5-2,1,up 1.0,Bailey,Diaz,,3:27,D,"37,175",+++,True,86,2017
6,201704090,boxscore,PHI,WSN,W-wo,4,3,,3-3,1, Tied,Gomez,Glover,,3:24,D,"36,917",++,True,87,2017
5,201704090,boxscore,CHW,MIN,L,1,4,,2-3,4, 2.5,Santana,Quintana,Kintzler,3:07,D,"24,074",-,True,88,2017
7,201704090,boxscore,SDP,SFG,L,3,5,,3-4,4, 3.0,Cueto,Richard,Melancon,2:57,D,"40,537",-,True,89,2017
5,201704090,boxscore,PIT,ATL,W-wo,6,5,10,3-2,3, 0.5,Rivero,Ramirez,,3:14,D,"22,713",+++,True,90,2017
5,201704090,boxscore,BAL,NYY,L,3,7,,4-1,1, Tied,Betances,O'Day,,3:22,D,"42,487",-,True,91,2017
6,201704090,boxscore,STL,CIN,L,0,8,,2-4,4, 2.0,Feldman,Martinez,,2:44,D,"45,200",-,True,92,2017
8,201704100,boxscore,SEA,HOU,W,6,0,,2-6,5, 3.5,Paxton,Morton,,2:56,D,"44,856",+,True,93,2017
7,201704100,boxscore,CHC,LAD,W-wo,3,2,,5-2,1, Tied,Davis,Romo,,3:37,N,"41,166",+++,True,94,2017
6,201704100,boxscore,PIT,CIN,L,1,7,,3-3,3, 1.5,Lorenzen,Glasnow,,3:05,N,"28,264",-,True,95,2017
8,201704100,boxscore,COL,SDP,L,3,5,,5-3,2, 1.0,Diaz,Chatwood,,2:53,N,"20,504",--,True,96,2017
7,201704100,boxscore,PHI,NYM,L,3,4,,3-4,4, 1.0,Blevins,Ramos,Reed,2:59,N,"33,359",-,True,97,2017
6,201704100,boxscore,DET,BOS,W,2,1,,4-2,2, 1.0,Wilson,Sale,Rodriguez,2:44,D,"24,672",+,True,98,2017
8,201704100,boxscore,SFG,ARI,W,4,1,,3-5,5, 3.0,Moore,Walker,Melancon,2:38,D,"42,129",++,True,99,2017
7,201704100,boxscore,KCR,OAK,L,0,2,,2-5,5, 3.5,Cotton,Kennedy,Doolittle,2:50,D,"40,019",--,True,100,2017
7,201704100,boxscore,NYY,TBR,W,8,1,,3-4,4, 2.0,Pineda,Cobb,,2:37,D,"46,955",++,True,101,2017
7,201704100,boxscore,WSN,STL,W,14,6,,4-3,1, Tied,Roark,Wainwright,,3:47,N,"27,413",+,True,102,2017
7,201704110,boxscore,CLE,CHW,W-wo,2,1,10,4-3,3, 1.0,Shaw,Kahnle,,3:37,D,"35,002",+,True,103,2017
9,201704110,boxscore,SEA,HOU,L,5,7,,2-7,5, 4.5,Musgrove,Miranda,,3:29,N,"18,527",-,True,104,2017
8,201704110,boxscore,WSN,STL,W,8,3,,5-3,1, Tied,Gonzalez,Lynn,,2:55,N,"30,663",++,True,105,2017
9,201704110,boxscore,COL,SDP,W,3,2,,6-3,2, 1.0,Senzatela,Diaz,Holland,2:24,N,"20,664",+,True,106,2017
7,201704110,boxscore,PIT,CIN,L,2,6,,3-4,3, 2.5,Storen,Nicasio,Iglesias,3:04,N,"11,027",--,True,107,2017
7,201704110,boxscore,DET,MIN,W,2,1,,5-2,1, Tied,Boyd,Santiago,Rodriguez,2:39,D,"21,237",++,True,108,2017
9,201704110,boxscore,SFG,ARI,L,3,4,,3-6,5, 4.0,Ray,Samardzija,Rodney,3:18,N,"41,562",-,True,109,2017
7,201704110,boxscore,MIA,ATL,W,8,4,,4-3,3, 0.5,Straily,Colon,,2:54,N,"36,519",+,True,110,2017
